Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Customs Unit Value (Gen),Customs Unit Value (Cons),Card Count
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","669573318","669213058","464983038","685480731","685219617","79696496","","","","","","","10092"
"2801 Fluorine, Chlorine, Bromine & Iodine","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","344881000","344881000","788934","347538875","347538875","153345","","","","","","","2534"
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","385000109","380972796","304652655","407609676","403559915","27427937","","","","","","","14114"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","639831014","623706643","460272330","658655375","642440643","77690569","","","","","","","9130"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","154582450","152516362","8621234","155677396","153646532","2109980","","","","","","","1437"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","107550801","107389211","90328547","113277771","113136281","3765662","","","","","","","1197"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","138357290","136985490","119795405","141151530","139778139","4743122","","","","","","","1041"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","3638708342","3638708342","395915","3639649755","3639649755","44747","","","","","","","1513"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","162517087","160486762","130454037","170623246","168590421","5269944","","","","","","","1268"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","35450897","35450897","0","35912504","35912504","0","","","","","","","283"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","954372547","949475189","34762048","971007350","965798184","6494535","","","","","","","26069"
"2606 Aluminum Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","48020094","48020094","4177780","54782676","54782676","1039683","","","","","","","227"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","60942912","60942912","0","61595140","61595140","0","","","","","","","300"
"2603 Copper Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","101450514","101450514","15317052","104876129","104876129","0","","","","","","","1417"
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","58348425","56681679","20543258","61377963","59620004","4802575","","","","","","","1300"
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","5429523","5429523","2084389","6078614","6078614","185591","","","","","","","183"
"2614 Titanium Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","123824713","123824713","170789","124487118","124487118","42697","","","","","","","65"
"2801 Fluorine, Chlorine, Bromine & Iodine","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","200938151","200938151","1916648","203391740","203391740","490090","","","","","","","2949"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","2827744237","2827744237","362086","2828534157","2828534157","89003","","","","","","","1431"
"2606 Aluminum Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","45163999","44804065","0","54396194","54036246","0","","","","","","","137"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","41429572","43303776","38376484","43433390","45549192","7346697","","","","","","","317"
"2614 Titanium Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","61347159","61347159","2445","61570359","61570359","611","","","","","","","33"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","1045923473","1021068430","12706506","1067061367","1040689330","1563320","","","","","","","22896"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","8382459","8382459","0","9917382","9917382","0","","","","","","","11"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","210316868","214593057","130913829","214157602","218530970","12763266","","","","","","","1449"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","38632428","38632428","0","39364132","39364132","0","","","","","","","312"
"2603 Copper Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","122490327","122490327","30427","126002750","126002750","0","","","","","","","2112"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","49455789","49055327","23481139","50914027","50512059","5935578","","","","","","","2510"
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","12327061","12327061","7354169","14324617","14324617","399179","","","","","","","246"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","282933630","278353703","174359725","287558955","282981665","14155939","","","","","","","1466"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","351744410","356864379","245957905","360929488","366120457","50041779","","","","","","","5420"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","126688361","124607742","12430759","128846368","126693644","2468181","","","","","","","5134"
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","9789014","9789014","7537994","11017003","11017003","476553","","","","","","","209"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","183181444","177645551","133272365","187809997","182324772","13110518","","","","","","","1468"
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","954846","954846","0","962693","962693","0","","","","","","","8"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","53941408","53574951","0","55570459","55169402","0","","","","","","","320"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","377521467","401473153","334514270","388960039","413755927","57910758","","","","","","","7404"
"2606 Aluminum Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","12218527","12218527","7831575","16731771","16731771","2694313","","","","","","","170"
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","2144496","2144496","1035690","2406092","2406092","158202","","","","","","","67"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","116254537","113172016","18118415","119166266","116062814","2620221","","","","","","","5196"
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","151300","151300","0","157028","157028","0","","","","","","","3"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","1012849015","1007427405","2345314","1033453022","1027585052","611880","","","","","","","26155"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","219193807","219060931","153090525","225883398","225745843","59495363","","","","","","","1393"
"2801 Fluorine, Chlorine, Bromine & Iodine","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","427286593","427286593","1500425","429884511","429884511","235631","","","","","","","3421"
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","391128453","389831357","315271085","421082172","419754101","35390629","","","","","","","13130"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","1058662575","1055898116","6869238","1083801610","1080846998","1377525","","","","","","","33546"
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","121726742","121698621","0","126846523","126817062","0","","","","","","","2495"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","109709326","108943830","55659089","111974103","111187507","12964762","","","","","","","6691"
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","348601085","344668196","270284969","366156901","362258874","22873930","","","","","","","11726"
"2603 Copper Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","257457","257457","140654","261343","261343","0","","","","","","","12"
